Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
1639,Session number,1639,1639,10994,1639,,,,,,,,,,,,,,,,,,,,
164891,Date of first session,164891,164891,10999,164891,,,,,,,,,,,,,,,,,,,,
162846,Pill count adherence % (from pill count),162846,162846,11000,162846,,,,,,,,,,,,,,,,,,,,
,MMAS-4,,,,,"MMAS questions in KenyaEMR have beed designed differently in the form as compared to AMRS.  For AMRS concept ids were created for all the MMAS questions but for Kenya EMR, they seem to use control questions and the anly question that is stored in the database is the final rating, wether Good, inadequate or poor. ",,,,,,,,,,,,,,,,,,,
,"When you feel like your symptoms are under control, do you sometimes stop taking your medicine",,,10107,,,,,,,,,,,,,,,,,,,,,
,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
,Do you ever feel under pressure about sticking to your treatment plan,,,10108,,,,,,,,,,,,,,,,,,,,,
,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
,How often do you have difficulty remembering to take all your medications,,,10109,,,,,,,,,,,,,,,,,,,,,
,Never/Rarely,1090,1090,1090,1090,,,,,,,,,,,,,,,,,,,,
,Once in a while,159416,159416,1421,159416,,,,,,,,,,,,,,,,,,,,
,Sometimes ,1385,1385,1422,1385,,,,,,,,,,,,,,,,,,,,
,Usually,1804,1804,9293,1804,,,,,,,,,,,,,,,,,,,,
,All the time,1358,1358,1847,1358,,,,,,,,,,,,,,,,,,,,
1658,Adherence rating,1658,1658,8288,1658,,,,,,,,,,,,,,,,,,,,
1658,Good ,159405,159405,6343,159405,,,,,,,,,,,,,,,,,,,,
1658,Inadequate,163794,163794,6656,163794,,,,,,,,,,,,,,,,,,,,
1658,Poor,159407,159407,6344,159407,,,,,,,,,,,,,,,,,,,,
,VL screening questions,,,,,,,,,,,,,,,,,,,,,,,,
164848,Has patient received viral load result,164848,164848,2389,164848,,,,,,,,,,,,,,,,,,,,
164848,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164848,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
163310,Was the Viral load result suppressed (less than 1000) or unsuppressed (greater than 1000),163310,163310,11001,163310,,,,,,,,,,,,,,,,,,,,
163310,Suppressed,1302,1302,1302,1302,,,,,,,,,,,,,,,,,,,,
163310,Unsuppressed,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164981,How does the patient feel concerning the result,164981,,11002,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164982,What does the patient think caused the high viral load,164982,,,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
160632,Way forward,160632,160632,1915,160632,,,,,,,,,,,,,,,,,,,,
,"Barriers to adherence- Cognitive Barriers
",,,,,,,,,,,,,,,,,,,,,,,,
164983,(HIV and ART Knowledge) Assess patient's knowledge about HIV and ART; correct any misconceptions,164983,,10518,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
,Barriers to adherence-Behavioural  Barriers,,,,,,,,,,,,,,,,,,,,,,,,
164984,"Let the patient explan how they take their drugs, and at what time and how they store them",164984,,11003,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164985,How does treatment fit the patient daily routines? What reminder tools are used,164985,,11004,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164986,What does the patient do in case of visits and travels,164986,,11005,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164987,What does the patient do incase of Side Effects,164987,,11006,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164988, What are the most difficult situations for the patient to take drugs,164988,,11007,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
,Emotional Barriers ,,,,,,,,,,,,,,,,,,,,,,,,
164989,How does the patient feel about taking drugs everyday,164989,,11008,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164990,What are the patient ambitions in life?,164990,,11009,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
,Socio-Economic Barriers,,,,,,,,,,,,,,,,,,,,,,,,
164991,Does the patient have any people in their life who they can talk to about HIV status and ART?,164991,,11010,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164991,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164991,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164992,Discuss how the patient can enlist the support of their family,164992,,11011,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164993,Review the patient's and family's sources of income and how well they cover their needs,164993,,11012,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164994,Does the patient have any challenges getting the clinic on regular basis,164994,,11013,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164994,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164994,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164995,Is the patient worried about people finding out about their HIV status accidentally,164995,,11014,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164995,Yes,1065,1065,,,,,,,,,,,,,,,,,,,,,,
164995,No,1066,1066,,,,,,,,,,,,,,,,,,,,,,
164996, Does the patient feel like people treat them differently when they know their HIV status,164996,,11015,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164996,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164996,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164997,"Does stigma making it difficult for them to take their medications on time, or for them to attend clinical appointments",164997,,11016,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164997,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164997,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164998,Find out if the patient has tried faith healing,164998,,11017,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164998,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164998,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
,Review Adherence Plan,,,,,"In AMRS, only one concept was created for this section but in Kenya EMR it has been split into different quesions. ",,,,,,,,,,,,,,,,,,,
1898,Does patient think adherence  has improved since last session,1898,1898,11018,1898,,,,,,,,,,,,,,,,,,,,
1898,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
1898,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
160110,Have any dosses been missed?,160110,160110,10735,160110,,,,,,,,,,,,,,,,,,,,
160110,Yes,,,,,,,,,,,,,,,,,,,,,,,,
160110,No,,,,,,,,,,,,,,,,,,,,,,,,
163108,Review barriers to adherence from previous session and if strategies identified have been,163108,163108,11019,163108,,,,,,,,,,,,,,,,,,,,
,Referrals,,,,,,,,,,,,,,,,,,,,,,,,
1272,Has the patient been referred to other services,1272,1272,1272,1272,,,,,,,,,,,,,,,,,,,,
1272,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
1272,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
164999,Did he/she attend the appointments,164999,,9320,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
164999,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
164999,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
165000,What was the experience? Do the referrals need to be re-organized,165000,,11020,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
165001,Will the patient benefit from a home visit,165001,,10085,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
165002,Adherence plan,165002,,10530,,Not mapped to CIEL,,,,,,,,,,,,,,,,,,,
5096,Follow up Date,5096,5096,5096,5096,,,,,,,,,,,,,,,,,,,,
