Question Concept_id,AMRS  (Question/Answer),amrs_concept_id,KenyaEMR  (Question/Answer),emr_concept_id,KenyaEMR form uuid,Comments,,,,,,,,,,,,,,,,,,,
1042,Indeterminate,1138,Indeterminate,1138,,,,,,,,,,,,,,,,,,,,,
1042,Poor sample quality,1304,Poor sample quality,1304,,,,,,,,,,,,,,,,,,,,,
1042,Not done,1118,Not done,1118,,,,,,,,,,,,,,,,,,,,,
1048,HIV disclosure to anyone,1048,HIV disclosure to anyone,1048,,Boolean,,,,,,,,,,,,,,,,,,,
1053,Parity,1053,Parity,1053,e958f902-64df-4819-afd4-7fb061f59308,,,,,,,,,,,,,,,,,,,,
1070,"Review of systems, HEENT",1070,"Review of systems, HEENT",1070,,,,,,,,,,,,,,,,,,,,,
1070,Hearing difficulties ,861,HEARING DIFFICULTIES ,861,,,,,,,,,,,,,,,,,,,,,
1070,Otorrhea,873,OTORRHEA,873,,,,,,,,,,,,,,,,,,,,,
1070,Oral sores,5244,ORAL SORES,5244,,,,,,,,,,,,,,,,,,,,,
1070,"Candidiasis, oral",5334,"CANDIDIASIS, ORAL",5334,,,,,,,,,,,,,,,,,,,,,
1070,"Vision difficulties, nos",5953,"VISION DIFFICULTIES, NOS",5953,,,,,,,,,,,,,,,,,,,,,
1070,Swallowing difficulties,5954,SWALLOWING DIFFICULTIES,5954,,,,,,,,,,,,,,,,,,,,,
1070,Nasal discharge,6016,Catarrhal Nasal Discharge,146097,,,,,,,,,,,,,,,,,,,,,
1070,Negative ,664,Negative ,664,,,,,,,,,,,,,,,,,,,,,
1070,Swelling ,6001,Swelling ,159012,,,,,,,,,,,,,,,,,,,,,
1070,Presence of pain,7032,-,,,,,,,,,,,,,,,,,,,,,,
1070,None,1107,None,1107,,,,,,,,,,,,,,,,,,,,,
1070,Normal ,1115,Normal ,1115,,,,,,,,,,,,,,,,,,,,,
1070,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1070,Other,5622,Other,5622,,,,,,,,,,,,,,,,,,,,,
1071,"Review of systems, cardiopulmonary",1071,"Review of systems, cardiopulmonary",1071,,,,,,,,,,,,,,,,,,,,,
1071,Tuberculosis,58,Tuberculosis,112141,,,,,,,,,,,,,,,,,,,,,
1071,Cough,107,Cough,143264,,,,,,,,,,,,,,,,,,,,,
1071,Chest pain,136,Chest pain,120749,,,,,,,,,,,,,,,,,,,,,
1071,Tachypnea,801,Tachypnea,125061,,,,,,,,,,,,,,,,,,,,,
1071,History of pneumonia,1145,History of pneumonia,1145,,,,,,,,,,,,,,,,,,,,,
1071,Productive cough,5957,Productive cough,5957,,,,,,,,,,,,,,,,,,,,,
1071,Shortness of breath,5960,Shortness of breath,141600,,,,,,,,,,,,,,,,,,,,,
1071,Shortness of breath at rest,5961,Shortness of breath at rest,5961,,,,,,,,,,,,,,,,,,,,,
1071,Shortness of breath with exertion,5963,Shortness of breath with exertion,5963,,,,,,,,,,,,,,,,,,,,,
1071,Negative,664,Negative,664,,,,,,,,,,,,,,,,,,,,,
1071,History of pneumonia in past two years,2071,-,-,,,,,,,,,,,,,,,,,,,,,
1071,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1071,Orthopnea,7998,Orthopnea,131689,Different data type,,,,,,,,,,,,,,,,,,,,
1071,Fatigue,5949,Fatigue,116334,,,,,,,,,,,,,,,,,,,,,
1071,Palpitations,7999,Palpitations,130987,,,,,,,,,,,,,,,,,,,,,
1071,Paroxysmal nocturnal dyspnea,8043,Paroxysmal nocturnal dyspnea,130783,,,,,,,,,,,,,,,,,,,,,
1071,Normal,1115,Normal,1115,,,,,,,,,,,,,,,,,,,,,
1080,"Review of systems, genitourinary",1080,"Review of systems, genitourinary",1080,,,,,,,,,,,,,,,,,,,,,
1080,Urinary tract infection,55,Urinary tract infection,111633,,,,,,,,,,,,,,,,,,,,,
1080,Hematuria,840,Hematuria,840,,,,,,,,,,,,,,,,,,,,,
1080,Menstruating,5989,Menstruating,5989,,,,,,,,,,,,,,,,,,,,,
1080,Menopausal,5990,Menopausal,5990,,,,,,,,,,,,,,,,,,,,,
1080,Vaginal discharge,5993,Vaginal discharge,123396,,,,,,,,,,,,,,,,,,,,,
1080,Urethral discharge,5995,Urethral discharge,123529,,,,,,,,,,,,,,,,,,,,,
1080,Dysuria,6020,Dysuria,118771,,,,,,,,,,,,,,,,,,,,,
1080,Oliguria,6021,Oliguria,132418,,,,,,,,,,,,,,,,,,,,,
1080,Renal disease,6033,Renal disease,6033,,,,,,,,,,,,,,,,,,,,,
1080,Negative,664,Negative,664,,,,,,,,,,,,,,,,,,,,,
1080,Circumcized,2062,Circumcized,145096,Different datatype,,,,,,,,,,,,,,,,,,,,
1080,History of urinary tract infection,2182,,-,,,,,,,,,,,,,,,,,,,,,
1080,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1080,History of sexual abuse,8398,History of sexual abuse,138573,,,,,,,,,,,,,,,,,,,,,
1080,Polyuria,8417,Polyuria,129510,,,,,,,,,,,,,,,,,,,,,
1080,Urinary urgency,8418,Urinary urgency,123508,,,,,,,,,,,,,,,,,,,,,
1080,Priapism,8767,Priapism,129172,,,,,,,,,,,,,,,,,,,,,
1080,Signs of labor,6261,,,,,,,,,,,,,,,,,,,,,,,
1080,Rupture of membranes,8998,Rupture of membranes,127244,,,,,,,,,,,,,,,,,,,,,
1080,Normal,1115,Normal,1115,,,,,,,,,,,,,,,,,,,,,
1080,Lower abdominal pain,6997,Lower abdominal pain,157544,,,,,,,,,,,,,,,,,,,,,
1080,Genital sores,864,Genital sores,864,,,,,,,,,,,,,,,,,,,,,
1081,"	Review of systems, musculoskeletal",1081,"	Review of systems, musculoskeletal",1081,,,,,,,,,,,,,,,,,,,,,
1081,Joint pain,80,Joint pain,80,"This concept is mapped to many other CIEl concepts i.e. 116558	,136409,116557	",,,,,,,,,,,,,,,,,,,,
1081,"Edema, legs",590,"Edema, legs",590,,,,,,,,,,,,,,,,,,,,,
1081,Joint swelling,5312,Joint swelling,5312,,,,,,,,,,,,,,,,,,,,,
1081,Muscle pain,6034,Muscle pain,133632,,,,,,,,,,,,,,,,,,,,,
1081,"Pain, lower extremities",6035,"Pain, lower extremities",6035,,,,,,,,,,,,,,,,,,,,,
1081,Negative,664,Negative,664,,,,,,,,,,,,,,,,,,,,,
1081,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1081,Claudication,8044,Claudication,145074,,,,,,,,,,,,,,,,,,,,,
1081,Spinal swelling,8392,Edema of spinal cord,141471,,,,,,,,,,,,,,,,,,,,,
1081,Varicose leg ulcers,951,Varicose leg ulcers,951,,,,,,,,,,,,,,,,,,,,,
1081,Lytic bone lesions,8592,Lytic bone lesions,147074,,,,,,,,,,,,,,,,,,,,,
1081,Swelling ,6001,Swelling ,159012,,,,,,,,,,,,,,,,,,,,,
1081,Normal,1115,Normal,1115,,,,,,,,,,,,,,,,,,,,,
1082,"Review of systems, central nervous system",1082,"Review of systems, central nervous system",1082,,,,,,,,,,,,,,,,,,,,,
1082,Mental disorders,77,Mental disorders,77,,,,,,,,,,,,,,,,,,,,,
1082,Seizure,206,Seizure,206,,,,,,,,,,,,,,,,,,,,,
1082,Depression,207,Depression,207,,,,,,,,,,,,,,,,,,,,,
1082,Headache,620,Headache,139084,,,,,,,,,,,,,,,,,,,,,
1082,Paresthesia,6004,Paresthesia,132650,,,,,,,,,,,,,,,,,,,,,
1082,Focal weakness,6005,Focal weakness,6005,,,,,,,,,,,,,,,,,,,,,
1082,Confusion,6006,Confusion,120345,,,,,,,,,,,,,,,,,,,,,
1082,Memory problems,6037,Memory problems,6037,,,,,,,,,,,,,,,,,,,,,
1082,Negative,664,Negative,664,,,,,,,,,,,,,,,,,,,,,
1082,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1082,Lightheadedness,8000,Lightheadedness,141830,,,,,,,,,,,,,,,,,,,,,
1082,Fainting,7045,Fainting,125166,,,,,,,,,,,,,,,,,,,,,
1082,Blurred vision,8045,Blurred vision,147104,,,,,,,,,,,,,,,,,,,,,
1082,Normal,1115,Normal,1115,,,,,,,,,,,,,,,,,,,,,
1083,Allergy to other medicine,1083,Allergy to other medicine,1083,,,,,,,,,,,,,,,,,,,,,
1086,Previous antiretroviral drugs used for transmission prophylaxis,1086,Previous antiretroviral drugs used for transmission prophylaxis,1086,,,,,,,,,,,,,,,,,,,,,
1086,Stavudine,625,Stavudine,84309,,,,,,,,,,,,,,,,,,,,,
1086,Lamivudine,628,Lamivudine,78643,,,,,,,,,,,,,,,,,,,,,
1086,Lamivudine/Zidovudine,630,Lamivudine/Zidovudine,630,,,,,,,,,,,,,,,,,,,,,
1086,Nevirapine,631,Nevirapine,80586,,,,,,,,,,,,,,,,,,,,,
1086,Efavirenz,633,Efavirenz,75523,,,,,,,,,,,,,,,,,,,,,
1086,Nelfinavir,635,Nelfinavir,80487,,,,,,,,,,,,,,,,,,,,,
1086,Didanosine,796,Didanosine,74807,,,,,,,,,,,,,,,,,,,,,
1086,Zidovudine,797,Zidovudine,86663,,,,,,,,,,,,,,,,,,,,,
1086,Abacavir,814,Abacavir,70056,,,,,,,,,,,,,,,,,,,,,
1086,Nevirapine/Lamivudine/Zidovudine,6467,Nevirapine/Lamivudine/Zidovudine,1652,,,,,,,,,,,,,,,,,,,,,
1086,Tenofovir/Lamivudine/Efavirenz,6964,Tenofovir/Lamivudine/Efavirenz,164505,,,,,,,,,,,,,,,,,,,,,
1086,Zidovudine/Lamivudine/Efavirenz,9053,Zidovudine/Lamivudine/Efavirenz,160124,,,,,,,,,,,,,,,,,,,,,
1086,Dolutegravir/Lamivudine/Tenofovir,10268,Dolutegravir/Lamivudine/Tenofovir,164969,,,,,,,,,,,,,,,,,,,,,
1086,Efavirenz/Emtricitabine/Tenofovir Disoproxil,10796,Efavirenz/Emtricitabine/Tenofovir Disoproxil,104565,,,,,,,,,,,,,,,,,,,,,
1086,Zidovudine/Lamiivudine/Dolutegravir,10985,Zidovudine/Lamiivudine/Dolutegravir,164968,,,,,,,,,,,,,,,,,,,,,
1089,Year of blood transfusion exposure,1089,Year of blood transfusion exposure,1089,,,,,,,,,,,,,,,,,,,,,
1120,Skin exam findings,1120,Skin exam findings,1120,,,,,,,,,,,,,,,,,,,,,
1120,Kaposi's sarcoma,507,Kaposi's sarcoma,507,,,,,,,,,,,,,,,,,,,,,
1120,Skin rash,512,Skin rash,512,Different datatype,,,,,,,,,,,,,,,,,,,,
1120,Normal,1115,Normal,1115,,,,,,,,,,,,,,,,,,,,,
1120,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1120,Pustules,1451,Pustules,128047,,,,,,,,,,,,,,,,,,,,,
1120,Not done,1118,Not done,1118,,,,,,,,,,,,,,,,,,,,,
1120,None,1107,None,1107,,,,,,,,,,,,,,,,,,,,,
1120,Calor,8188,Calor,-,,,,,,,,,,,,,,,,,,,,,
1120,Skin of orange,8189,Skin of orange,,,,,,,,,,,,,,,,,,,,,,
1120,"Herpes simplex, nos",1449,"Herpes simplex, nos",138706,,,,,,,,,,,,,,,,,,,,,
1120,Swelling ,6001,Swelling ,159012,,,,,,,,,,,,,,,,,,,,,
1120,Abscess,138,Abscess,150555,,,,,,,,,,,,,,,,,,,,,
1120,"Mass, other",582,"Mass, other",582,,,,,,,,,,,,,,,,,,,,,
1122,Heent exam findings,1122,Heent exam findings,1122,,,,,,,,,,,,,,,,,,,,,
1122,Dental caries,131,Dental caries,119558,,,,,,,,,,,,,,,,,,,,,
1122,Deviated trachea,513,Deviated trachea,513,,,,,,,,,,,,,,,,,,,,,
1122,Pale conjunctiva,516,Pale conjunctiva,516,,,,,,,,,,,,,,,,,,,,,
1122,Fundal abnormality,518,Fundal abnormality,518,,,,,,,,,,,,,,,,,,,,,
1122,Cerumen impaction,530,Cerumen impaction,530,,,,,,,,,,,,,,,,,,,,,
1122,Tonsil enlarged,536,Tonsil enlarged,536,,,,,,,,,,,,,,,,,,,,,
1122,Kaposi sarcoma oral,644,Kaposi sarcoma oral,644,,,,,,,,,,,,,,,,,,,,,
1122,Otorrhea,873,Otorrhea,141586,,,,,,,,,,,,,,,,,,,,,
1122,Tympanic membrane injected,948,Tympanic membrane injected,948,,,,,,,,,,,,,,,,,,,,,
1122,Normal,1115,Normal,1115,,,,,,,,,,,,,,,,,,,,,
1122,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1122,Nuchal rigidity,5170,Nuchal rigidity,112721,,,,,,,,,,,,,,,,,,,,,
1122,Icteric sclera,5192,Icteric sclera,5192,,,,,,,,,,,,,,,,,,,,,
1122,"Candidiasis, oral",5334,"Candidiasis, oral",5334,,,,,,,,,,,,,,,,,,,,,
1122,Nasal discharge,6016,Nasal discharge,146097,,,,,,,,,,,,,,,,,,,,,
1122,Eye discharge,874,Eye discharge,874,,,,,,,,,,,,,,,,,,,,,
1122,Parotid enlargement,1210,Parotid enlargement,1210,,,,,,,,,,,,,,,,,,,,,
1122,Not done,1118,Not done,1118,,,,,,,,,,,,,,,,,,,,,
1122,Other oral lesions,6672,Other oral lesions,-,,,,,,,,,,,,,,,,,,,,,
1122,Oral sores,5244,Oral sores,5244,,,,,,,,,,,,,,,,,,,,,
1122,Cleft lip and palate,8331,Cleft lip and palate,120544,,,,,,,,,,,,,,,,,,,,,
1122,Pallor,5245,Pallor,5245,,,,,,,,,,,,,,,,,,,,,
1122,Jaundice,215,Jaundice,136443,,,,,,,,,,,,,,,,,,,,,
1122,Cyanosis,589,Cyanosis,143050,,,,,,,,,,,,,,,,,,,,,
1122,Dehydration,991,Dehydration,142630,,,,,,,,,,,,,,,,,,,,,
1123,Chest exam findings,1123,,1123,,,,,,,,,,,,,,,,,,,,,
1123,Right lower lobe,639,Right lower lobe,639,,,,,,,,,,,,,,,,,,,,,
1123,Normal,1115,Normal,1115,,,,,,,,,,,,,,,,,,,,,
1123,Abnormal ,1116,Abnormal ,1116,,,,,,,,,,,,,,,,,,,,,
1123,Diminished breath sounds,5115,Diminished breath sounds,5115,,,,,,,,,,,,,,,,,,,,,
1123,Bronchial breath sounds,5116,Bronchial breath sounds,5116,,,,,,,,,,,,,,,,,,,,,
1123,Crepitations,5127,Crepitations,5127,,,,,,,,,,,,,,,,,,,,,
1123,Left lower lobe,5134,Left lower lobe,5134,,,,,,,,,,,,,,,,,,,,,
1123,Dullness to percussion,5138,Dullness to percussion,5138,,,,,,,,,,,,,,,,,,,,,
1123,Left ,5139,Left ,5139,,,,,,,,,,,,,,,,,,,,,
1123,Right ,5141,Right ,5141,,,,,,,,,,,,,,,,,,,,,
1123,Rhonchi ,5181,Rhonchi ,5181,,,,,,,,,,,,,,,,,,,,,
1123,Wheeze ,5209,Wheeze ,5209,,,,,,,,,,,,,,,,,,,,,
1123,Not done ,1118,Not done ,1118,,,,,,,,,,,,,,,,,,,,,
1123,Other non-coded ,5622,Other non-coded ,5622,,,,,,,,,,,,,,,,,,,,,
1123,None ,1107,None ,1107,,,,,,,,,,,,,,,,,,,,,
1123,Perihilar ,2398,-,-,,,,,,,,,,,,,,,,,,,,,
1123,Bilateral ,2399,Bilateral ,160406,,,,,,,,,,,,,,,,,,,,,
1123,Diffuse,576,Diffuse,576,,,,,,,,,,,,,,,,,,,,,
1123,Right upper lobe ,5119,Right upper lobe ,5119,,,,,,,,,,,,,,,,,,,,,
1123,Left upper lobe ,5132,Left upper lobe ,5132,,,,,,,,,,,,,,,,,,,,,
1125,Abdominal exam findings,1125,Abdominal exam findings,1125,,,,,,,,,,,,,,,,,,,,,
1125,Ascites ,581,Ascites ,148346,,,,,,,,,,,,,,,,,,,,,
1125,Normal ,1115,Normal ,1115,,,,,,,,,,,,,,,,,,,,,
1125,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1125,Hepatomegaly,5008,Hepatomegaly,5008,,,,,,,,,,,,,,,,,,,,,
1125,Splenomegaly,5009,Splenomegaly,5009,,,,,,,,,,,,,,,,,,,,,
1125,"Mass, abdominal",5103,"Mass, abdominal",5103,,,,,,,,,,,,,,,,,,,,,
1125,Abdominal tenderness ,5105,Abdominal tenderness ,5105,,,,,,,,,,,,,,,,,,,,,
1125,Distended,2185,Distended,150915,,,,,,,,,,,,,,,,,,,,,
1125,Not done ,1118,Not done ,1118,,,,,,,,,,,,,,,,,,,,,
1127,Extremity exam findings,1127,Extremity exam findings,1127,,,,,,,,,,,,,,,,,,,,,
1127,Cellulitis ,134,Cellulitis ,134,,,,,,,,,,,,,,,,,,,,,
1127,Kaposi's sarcoma,507,Kaposi's sarcoma,507,,,,,,,,,,,,,,,,,,,,,
1127,"Edema, legs ",590,"Edema, legs ",590,,,,,,,,,,,,,,,,,,,,,
1127,Vitamin D deficiency ,888,Vitamin D deficiency ,123038,,,,,,,,,,,,,,,,,,,,,
1127,Varicose leg ulcers ,951,Varicose leg ulcers ,951,,,,,,,,,,,,,,,,,,,,,
1127,Normal ,1115,Normal ,1115,,,,,,,,,,,,,,,,,,,,,
1127,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1127,Not done,1118,Not done,1118,,,,,,,,,,,,,,,,,,,,,
1127,"Mass, other ",582,"Mass, other ",582,,,,,,,,,,,,,,,,,,,,,
1127,Fungal infection ,171,Fungal infection ,171,,,,,,,,,,,,,,,,,,,,,
1127,Oedema ,460,Oedema ,460,,,,,,,,,,,,,,,,,,,,,
1127,Ulcer ,7293,Ulcer ,123919,,,,,,,,,,,,,,,,,,,,,
1127,Callus ,7294,Callus ,120943,,,,,,,,,,,,,,,,,,,,,
1127,Harden nail ,7297,Harden nail ,133513,,,,,,,,,,,,,,,,,,,,,
1127,Dry ,7298,-,-,,,,,,,,,,,,,,,,,,,,,
1128,Musculoskeletal exam findings,1128,Musculoskeletal exam findings,1128,,,,,,,,,,,,,,,,,,,,,
1128,Normal ,1115,Normal ,1115,,,,,,,,,,,,,,,,,,,,,
1128,Abnormal,1116,Abnormal,1116,,,,,,,,,,,,,,,,,,,,,
1128,Joint swelling ,5312,Joint swelling ,5312,,,,,,,,,,,,,,,,,,,,,
1128,Muscle tenderness ,5313,Muscle tenderness ,5313,,,,,,,,,,,,,,,,,,,,,
1128,Not done ,1118,Not done ,1118,,,,,,,,,,,,,,,,,,,,,
1128,Negative ,664,Negative ,664,,,,,,,,,,,,,,,,,,,,,
1128,Spinal swelling ,8392,Spinal swelling ,141471,,,,,,,,,,,,,,,,,,,,,
1130,Psychiatric exam findings,1130,Psychiatric exam findings,1130,,,,,,,,,,,,,,,,,,,,,
1130,Depression,207,Depression,119537,,,,,,,,,,,,,,,,,,,,,
1130,Normal ,1115,Normal ,1115,,,,,,,,,,,,,,,,,,,,,
1130,Abnormal ,1116,Abnormal ,1116,,,,,,,,,,,,,,,,,,,,,
1130,Dementia ,5136,Dementia ,119566,,,,,,,,,,,,,,,,,,,,,
1130,Apathetic ,5265,Apathetic ,5265,,,,,,,,,,,,,,,,,,,,,
1130,Confusion ,6006,Confusion ,120345,,,,,,,,,,,,,,,,,,,,,
1130,Anxiety ,1443,Anxiety ,121543,,,,,,,,,,,,,,,,,,,,,
1130,Suicidal tendencies ,7783,-,-,,,,,,,,,,,,,,,,,,,,,
1130,Memory problems ,6037,Memory problems ,6037,,,,,,,,,,,,,,,,,,,,,
1130,Hyperactive ,7687,-,-,,,,,,,,,,,,,,,,,,,,,
1130,Abnormal behavior ,8393,Abnormal behavior ,150880,,,,,,,,,,,,,,,,,,,,,
1130,Psychoactive substance use disorder ,11224,Psychoactive substance use disorder ,113555,,,,,,,,,,,,,,,,,,,,,
1130,Psychosis ,219,Psychosis ,113517,,,,,,,,,,,,,,,,,,,,,
1130,Suicide ,1571,Suicide ,125561,,,,,,,,,,,,,,,,,,,,,
1130,Other non-coded ,5622,Other non-coded ,5622,,,,,,,,,,,,,,,,,,,,,
1271,Tests ordered,1271,Tests ordered,1271,,,,,,,,,,,,,,,,,,,,,
1271,Complete blood count ,1019,Complete blood count ,1019,,,,,,,,,,,,,,,,,,,,,
1271,Hemoglobin ,21,Hemoglobin ,21,,,,,,,,,,,,,,,,,,,,,
1271,Serum glutamic-pyruvic transaminase ,654,Serum glutamic-pyruvic transaminase ,654,,,,,,,,,,,,,,,,,,,,,
1271,CD4 panel,657,CD4 panel,657,,,,,,,,,,,,,,,,,,,,,
1271,"HIV viral load, quantitative",856,"HIV viral load, quantitative",856,,,,,,,,,,,,,,,,,,,,,
1271,"HIV enzyme immunoassay, qualitative ",1042,"HIV enzyme immunoassay, qualitative ",1042,,,,,,,,,,,,,,,,,,,,,
1271,"HIV DNA polymerase chain reaction, qualitative",1030,"HIV DNA polymerase chain reaction, qualitative",1030,,,,,,,,,,,,,,,,,,,,,
1271,Serum creatinine ,790,Serum creatinine ,790,,,,,,,,,,,,,,,,,,,,,
1271,Other non-coded ,5622,Other non-coded ,5622,,,,,,,,,,,,,,,,,,,,,
1271,Serum glutamic-oxaloacetic transaminase ,653,Serum glutamic-oxaloacetic transaminase ,653,,,,,,,,,,,,,,,,,,,,,
1271,Serum electrolytes ,5473,Serum electrolytes ,5473,,,,,,,,,,,,,,,,,,,,,
1271,"Tuberculin skin test, quantitative ",5475,"Tuberculin skin test, quantitative ",5475,,,,,,,,,,,,,,,,,,,,,
1271,Sputum for acid fast bacilli ,307,Sputum for acid fast bacilli ,307,,,,,,,,,,,,,,,,,,,,,
1271,"Urine pregnancy test, qualitative",45,"Urine pregnancy test, qualitative",45,,,,,,,,,,,,,,,,,,,,,
1271,None ,1107,None ,1107,,,,,,,,,,,,,,,,,,,,,
1271,"Syphilis - VDRL, qualitative ",299,"Syphilis - VDRL, qualitative ",299,,,,,,,,,,,,,,,,,,,,,
1271,Urinalysis ,302,Routine urine,161446,,,,,,,,,,,,,,,,,,,,,
1271,Brucella test ,305,Brucella test ,305,,,,,,,,,,,,,,,,,,,,,
1271,"X-ray, skull ",386,"X-ray, skull ",386,,,,,,,,,,,,,,,,,,,,,
1271,"X-ray, abdomen ",101,"X-ray, abdomen ",101,,,,,,,,,,,,,,,,,,,,,
1271,"X-ray, shoulder ",394,"X-ray, shoulder ",394,,,,,,,,,,,,,,,,,,,,,
1271,Blood typing ,300,Blood typing ,300,,,,,,,,,,,,,,,,,,,,,
1271,"X-ray, hand",382,"X-ray, hand",382,,,,,,,,,,,,,,,,,,,,,
1271,Serum glucose ,887,Serum glucose ,887,,,,,,,,,,,,,,,,,,,,,
1271,"X-ray, arm ",377,"X-ray, arm ",377,,,,,,,,,,,,,,,,,,,,,
1271,Widal test ,306,Widal test ,306,,,,,,,,,,,,,,,,,,,,,
1271,"X-ray, foot ",384,"X-ray, foot ",384,,,,,,,,,,,,,,,,,,,,,
1271,"X-ray, pelvis ",392,"X-ray, pelvis ",392,,,,,,,,,,,,,,,,,,,,,
1271,Papanicolaou smear ,885,Papanicolaou smear ,885,,,,,,,,,,,,,,,,,,,,,
1271,"X-ray, spine ",390,"X-ray, spine ",390,,,,,,,,,,,,,,,,,,,,,
1271,"X-ray, leg ",380,"X-ray, leg ",380,,,,,,,,,,,,,,,,,,,,,
1271,Malarial smear ,32,Malarial smear ,32,,,,,,,,,,,,,,,,,,,,,
1271,"Herpes simplex virus, qualitative ",908,"Herpes simplex virus, qualitative ",908,,,,,,,,,,,,,,,,,,,,,
1271,"HIV rapid test, qualitative ",1040,"HIV rapid test, qualitative ",1040,,,,,,,,,,,,,,,,,,,,,
1271,"Herpes simplex virus, DNA polymerase chain reaction, qualitative",1046,"Herpes simplex virus, DNA polymerase chain reaction, qualitative",1046,,,,,,,,,,,,,,,,,,,,,
1271,"Trichomonas vaginalis, DNA polymerase chain reaction, qualitative ",1039,"Trichomonas vaginalis, DNA polymerase chain reaction, qualitative ",1039,,,,,,,,,,,,,,,,,,,,,
1271,"Hepatitis C test, qualitative ",1325,"Hepatitis C test, qualitative ",1325,,,,,,,,,,,,,,,,,,,,,
1271,"Chlamydia trachomatis, DNA polymerase chain reaction, qualitative",1034,"Chlamydia trachomatis, DNA polymerase chain reaction, qualitative",1034,,,,,,,,,,,,,,,,,,,,,
1271,"HIV western blot, bands, quantitative",1045,"HIV western blot, bands, quantitative",1045,,,,,,,,,,,,,,,,,,,,,
1271,"Hepatitis B test, qualitative",1322,"Hepatitis B test, qualitative",1322,,,,,,,,,,,,,,,,,,,,,
1271,"Neisseria gonorrhoeae, DNA polymerase chain reaction, qualitative",1038,"Neisseria gonorrhoeae, DNA polymerase chain reaction, qualitative",1038,,,,,,,,,,,,,,,,,,,,,
1271,"HIV viral load, qualitative",1305,"HIV viral load, qualitative",1305,,,,,,,,,,,,,,,,,,,,,
1271,Echocardiography ,1536,Echocardiography ,159567,,,,,,,,,,,,,,,,,,,,,
1271,Barium meal ,1512,Barium meal ,159600,,,,,,,,,,,,,,,,,,,,,
1271,Stool exam,304,Stool exam,304,,,,,,,,,,,,,,,,,,,,,
